school_name,district_name,enrollment11,num_testtakers11,num_erwbenchmark11,pct_erwbenchmark11,num_mathbenchmark11,pct_mathbenchmark11,total_num_bothbenchmark11,pct_bothbenchmark11
Nathaniel Narbonne Senior High,Los Angeles Unified,514.0,434.0,177.0,40.78,104.0,23.96,92.0,21.2
North Hollywood Senior High,Los Angeles Unified,545.0,533.0,309.0,57.97,194.0,36.4,186.0,34.9
Sylmar Charter High,Los Angeles Unified,352.0,317.0,129.0,40.69,69.0,21.77,60.0,18.93
Animo Pat Brown,Los Angeles Unified,140.0,101.0,41.0,40.59,24.0,23.76,20.0,19.8
International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,94.0,91.0,57.0,62.64,35.0,38.46,30.0,32.97
Herbert Hoover High,Fresno Unified,420.0,311.0,129.0,41.48,48.0,15.43,45.0,14.47
Marshall (Thurgood) High,San Francisco Unified,122.0,55.0,13.0,23.64,9.0,16.36,7.0,12.73
Lincoln High,San Diego Unified,354.0,137.0,52.0,37.96,25.0,18.25,19.0,13.87
San Juan High,San Juan Unified,145.0,52.0,32.0,61.54,15.0,28.85,14.0,26.92
Alliance Marine - Innovation and Technology 6-12 Complex,Los Angeles Unified,51.0,50.0,25.0,50.0,14.0,28.0,10.0,20.0
University High,Fresno Unified,119.0,108.0,107.0,99.07,97.0,89.81,97.0,89.81
Valor Academy High,Los Angeles Unified,122.0,19.0,11.0,57.89,7.0,36.84,6.0,31.58
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Los Angeles Unified,132.0,133.0,57.0,42.86,17.0,12.78,14.0,10.53
Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,124.0,115.0,34.0,29.57,24.0,20.87,21.0,18.26
PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified,100.0,68.0,31.0,45.59,21.0,30.88,17.0,25.0
Visions In Education,San Juan Unified,725.0,43.0,40.0,93.02,31.0,72.09,31.0,72.09
Eagle Rock High,Los Angeles Unified,374.0,330.0,235.0,71.21,165.0,50.0,160.0,48.48
Academy (The)- SF @McAteer,San Francisco Unified,89.0,22.0,17.0,77.27,13.0,59.09,13.0,59.09
Wallenberg (Raoul) Traditional High,San Francisco Unified,152.0,81.0,69.0,85.19,69.0,85.19,65.0,80.25
Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,136.0,129.0,58.0,44.96,33.0,25.58,29.0,22.48
Animo Ralph Bunche Charter High,Los Angeles Unified,143.0,102.0,49.0,48.04,19.0,18.63,17.0,16.67
Highland Park Continuation,Los Angeles Unified,28.0,20.0,3.0,15.0,1.0,5.0,1.0,5.0
Los Angeles Leadership Academy,Los Angeles Unified,64.0,39.0,17.0,43.59,4.0,10.26,3.0,7.69
New Designs Charter,Los Angeles Unified,107.0,41.0,17.0,41.46,11.0,26.83,8.0,19.51
Animo Jackie Robinson High,Los Angeles Unified,150.0,110.0,49.0,44.55,31.0,28.18,26.0,23.64
Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,155.0,140.0,67.0,47.86,39.0,27.86,37.0,26.43
Arleta High,Los Angeles Unified,359.0,298.0,114.0,38.26,64.0,21.48,57.0,19.13
West Adams Preparatory High,Los Angeles Unified,362.0,311.0,82.0,26.37,35.0,11.25,29.0,9.32
Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,135.0,66.0,28.0,42.42,14.0,21.21,11.0,16.67
Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,107.0,96.0,68.0,70.83,38.0,39.58,36.0,37.5
Centennial High,Corona-Norco Unified,776.0,296.0,249.0,84.12,204.0,68.92,195.0,65.88
South Gate Senior High,Los Angeles Unified,586.0,539.0,214.0,39.7,75.0,13.91,68.0,12.62
Woodrow Wilson Senior High,Los Angeles Unified,301.0,290.0,105.0,36.21,56.0,19.31,47.0,16.21
Alliance Collins Family College-Ready High,Los Angeles Unified,150.0,147.0,88.0,59.86,43.0,29.25,41.0,27.89
"Asawa (Ruth) SF Sch of the Arts, A Public School",San Francisco Unified,200.0,127.0,122.0,96.06,104.0,81.89,102.0,80.31
Academies of Education and Empowerment at Carson High,Los Angeles Unified,145.0,136.0,65.0,47.79,15.0,11.03,15.0,11.03
Contreras Learning Center-School of Social Justice,Los Angeles Unified,100.0,104.0,25.0,24.04,9.0,8.65,8.0,7.69
Phoenix Continuation,Los Angeles Unified,29.0,27.0,5.0,18.52,1.0,3.7,1.0,3.7
Serra High,San Diego Unified,340.0,164.0,144.0,87.8,112.0,68.29,108.0,65.85
Granada Hills Charter High,Los Angeles Unified,1218.0,522.0,493.0,94.44,447.0,85.63,439.0,84.1
Alexander Hamilton Senior High,Los Angeles Unified,601.0,541.0,349.0,64.51,172.0,31.79,171.0,31.61
Los Angeles Senior High,Los Angeles Unified,287.0,232.0,79.0,34.05,25.0,10.78,23.0,9.91
PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,106.0,90.0,57.0,63.33,42.0,46.67,38.0,42.22
Sylmar Biotech Health Academy,Los Angeles Unified,63.0,60.0,24.0,40.0,3.0,5.0,2.0,3.33
Valley High,Elk Grove Unified,359.0,296.0,120.0,40.54,72.0,24.32,63.0,21.28
Odyssey Continuation,Los Angeles Unified,30.0,31.0,5.0,16.13,2.0,6.45,1.0,3.23
Susan Miller Dorsey Senior High,Los Angeles Unified,223.0,127.0,34.0,26.77,7.0,5.51,7.0,5.51
Boyle Heights Continuation,Los Angeles Unified,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
James A. Garfield Senior High,Los Angeles Unified,627.0,602.0,271.0,45.02,153.0,25.42,137.0,22.76
East Valley Senior High,Los Angeles Unified,132.0,103.0,25.0,24.27,7.0,6.8,5.0,4.85
California Academy of Mathematics and Science,Long Beach Unified,165.0,156.0,153.0,98.08,151.0,96.79,149.0,95.51
Cabrillo High,Long Beach Unified,544.0,473.0,152.0,32.14,51.0,10.78,43.0,9.09
WESM Health/Sports Medicine,Los Angeles Unified,236.0,180.0,97.0,53.89,42.0,23.33,39.0,21.67
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,105.0,103.0,98.0,95.15,89.0,86.41,87.0,84.47
Camino Nuevo Charter High,Los Angeles Unified,67.0,48.0,19.0,39.58,6.0,12.5,6.0,12.5
Valley International Preparatory High,Los Angeles Unified,57.0,29.0,27.0,93.1,21.0,72.41,21.0,72.41
Sonia Sotomayor Arts and Sciences Academies,Los Angeles Unified,115.0,102.0,36.0,35.29,8.0,7.84,8.0,7.84
Mira Mesa High,San Diego Unified,556.0,242.0,224.0,92.56,198.0,81.82,191.0,78.93
Health Sciences High,San Diego Unified,138.0,57.0,35.0,61.4,27.0,47.37,27.0,47.37
